Date,ID,Milestone,Detail,URL,summary_of_measure_change,introduced_by,targeted_at,when_introduced_duration,why_stated_aims,how_key_components_and_mechanisms,url_key_docs,category,subcategory,notes,transport_policy
2020-07-02T00:00:00Z,2.25599999999998,NA,NA,NA,"Guidance published for parents and carers about early years providers, schools and colleges in the autumn term",Department for Education,Parents and carers,Guidance page added 2 July 2020,NA,NA,Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-07-02T00:00:00Z,2.25699999999998,NA,NA,NA,Businesses and organisations are told to collect contact details of their visitors as their venues reopen,Department of Health and Social Care,Businesses and organisations,From 4 July 2020,NA,NA,Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-07-03T00:00:00Z,2.25799999999998,NA,NA,NA,Zero VAT rate on PPE is extended to the end of October,HM Treasury,Businesses,"Previous announcement applied from 1 May 2020 to 31 July 2020, now extended to end of October",NA,NA,Gov.uk news story,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-07-03T00:00:00Z,2.25899999999998,NA,NA,NA,Guidance published for higher education providers in England on when and how to reopen their campuses and buildings,Department for Education,Higher education providers in England,Publised 3 July 2020,NA,NA,Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-07-03T00:00:00Z,2.25999999999998,NA,NA,NA,"Vivaldi 1: coronavirus (COVID-19) care homes study report is published, providing a summary of antigen testing in all care homes for those over 65 years old in England and survey results of managers of those homes",Department of Health and Social Care,na,Published 3 July 2020,na,"The Vivaldi study combines 2 sets of results: (1) the results of the first round of whole-home testing for care homes for the over 65s undertaken between 11 May and 7 June 2020 (2) the results of the Vivaldi 1 telephone survey, which was conducted for the Office for National Statistics and the Department of Health and Social Care by Ipsos MORI of all care home managers for the same homes across England",Gov.uk_official statistics,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-07-03T00:00:00Z,2.26099999999998,NA,NA,NA,"The Foreign and Commonwealth Office updates its global advisory against ‘all but essential’ travel, exempting destinations that no longer pose an unacceptably high risk for British travellers",Foreign & Commonwealth Office,NA,Exemptions come into effect on 4 July 2020.,NA,The countries listed have been assessed as no longer presenting an unacceptably high risk to British people travelling abroad.,Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-07-03T00:00:00Z,2.26199999999998,NA,NA,NA,Government publish guidance on travel corridors - the countries where you do not have to self-isolate on arrival in England if these are the only places you have been to or stopped in during the previous 14 days,Foreign & Commonwealth Office,England,Come into effect 10 July 2020. This list may be added to over the coming days following further discussions between the UK and international partners.,NA,"From 10 July 2020, unless you have visited or stopped in any other country or territory in the preceding 14 days, you don’t need to self–isolate on your return to England from the following countries and territories (see guidance for list of countries).",Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-07-03T00:00:00Z,2.26299999999998,NA,NA,NA,Staff and residents in care homes for over 65s and those with dementia will receive regular COVID-19 tests from next week as part of a new social care testing strategy,"Department of Health and Social Care, The Rt Hon Matt Hancock MP, and Helen Whately MP",Care homes,From 6 July 2020,To prevent the spread of COVID-19 in social care,Care home staff to be given COVID-19 tests every week and residents monthly from Monday to identify anyone with the virus and reduce transmission. Repeat testing will be initially prioritised for care homes primarily looking after over 65s or those with dementia before being rolled out to all adult care homes in August.,Gov.uk_press release,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-07-03T00:00:00Z,2.26399999999998,NA,NA,NA,Guidance published on closing certain businesses and venues in Leicester from 4 July 2020,"Ministry of Housing, Communities & Local Government",Businesses and venues in Leicester,Come into effect 4 July 2020,NA,"From Saturday 4 July 2020, certain businesses and venues in Leicester will be required to close following an increase in the spread of COVID-19. All businesses and venues outlined in the table below with postcodes that fall within the area outlined in section 1 below must not open to the public: failure to follow the law relating to these closures can lead to the individual responsible for the business being issued with a prohibition notice, a fixed penalty notice or being prosecuted.",Gov.uk_guidance,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-07-04T00:00:00Z,2.26499999999998,NA,NA,NA,Local lockdown guidance for social distancing in Leicester,Department of Health and Social Care,Leicester,"These regulations will be reviewed at least once every 14 days, with the first review being carried out on 18 July.
",NA,"From 4 July 2020, if you live in Leicester, you should follow these rules when meeting people from outside your household. There are 2 ways that you can see people you do not live with: (1) meeting outdoors in a group of up to 6 people with those you do not live with, but you should do this while observing social distancing guidelines and keeping at least 2 metres apart (2) single adult households can form a ‘support bubble’ with one other household. All those in a support bubble will be able to spend time together inside each other's homes, including overnight, without needing to stay 2 metres apart.",Gov.uk_guidance,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-07-04T00:00:00Z,2.26599999999998,NA,NA,NA,Third step in easing national restrictions introduced,NA,na,Measures introduced 4 July 2020,na,"The government introduce a series of measures that take effect from 4 July, easing the lockdown in England. These include:
• The 2m social distancing guidance changing to state that 2m or 1m with risk mitigation (where 2m is not viable) are acceptable;
• Restaurants, pubs and cafes in England will be allowed to reopen, providing they follow safety guidelines. Hospitality indoors will be table service only;
• Holiday accommodation - including hotels, B&Bs, cottages, campsites and caravan parks - will reopen. Shared facilities, like campsite toilets, must be cleaned properly;
• Museums, galleries, cinemas, libraries, community centres, bingo halls, funfairs, themes parks, amusement arcades, outdoor skating rinks, social clubs, model villages, hairdressers, outdoor gyms and children’s playgrounds will reopen, if they can do so safely;
• Places of worship will be able to open for prayers and services, including weddings with up to 30 guests - subject to social distancing. Singing will not be permitted;
• Two households of any size will be able to meet indoors or outside. It will be possible to stay overnight. This does not have to be the same set of households each time. The two households must maintain social distancing - unless they are part of the same support bubble;
• Outdoors, people from multiple households can meet in groups of up to six - but two households can meet regardless of size;
• Nightclubs and casinos remain closed, along with bowling alleys, spas, swimming pools, indoor gyms and soft play centres;
• Theatres and concert halls will not be able to host live performances.",Gov.uk_guidance,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-07-04T00:00:00Z,2.26699999999998,NA,NA,NA,Guidance published to enable the safe reopening of places of worship from 4 July,"Ministry of Housing, Communities & Local Government",Places of worship,Published 4 July 2020,NA,NA,Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-07-06T00:00:00Z,268,Government says the majority of children no longer need to shield after 1 August (advisory guidance for those shielding also changes on this date),"Due to evidence from the Royal College of Paediatrics and Child Health that shows COVID-19 poses a low risk to children and young people, the majority of children currently considered extremely clinical vulnerable to COVID-19 will be able to be removed from the shielded patient list. Children will only be removed from the shielded patient list by their GP or specialist doctor following consultation with the child and their family. Only a small group of children with certain medical conditions are likely to be advised to shield if shielding needs to be reintroduced in the future. This announcement comes at the same time as advisory guidance for those shielding is eased; from Monday 6 July, those shielding from COVID-19 can gather in groups of up to 6 people outdoors and form a ‘support bubble’ with another household.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Shielding measures,NA,Wider policies
2020-07-10T00:00:00Z,269,Travel corridor exemptions for some countries and territories come into effect in England,"Measures to ease COVID-19 travel measures and introduce travel corridor exemptions for some countries and territories come into effect. Anyone arriving in England from one of the included exemption countries does not have to self-isolate. This applies to all travel to England, by train, ferry, coach, air or any other route. If a journey involves a transit stop in a country not on the list, the individual will need to self-isolate when arriving in England (eg if new passengers get on). Countries on the exemption list will be kept under review.",Gov.uk_guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-07-11T00:00:00Z,270,Outdoor performances with social distancing allowed to resume,"Performing arts can now take place outdoors with a socially distanced audience present. This includes outdoor theatres, opera, dance and music. New guidance was published by the Department for Digital Culture, Media and Sport for performing arts organisations, venue operators and participants in the UK.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-07-11T00:00:00Z,271,Outdoor pools allowed to reopen to the public,"Outdoor pools can reopen from 11 July. Guidance published by the Department for Digital, Culture, Media and Sport.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-07-13T00:00:00Z,272,"Businesses including beauty salons, nail bars and tattoo studios allowed to reopen","Beauty salons, nail bars, tattoo and massage studios, physical therapy businesses and spas across England can reopen from 13 July. Updated guidance sets out the measures that businesses providing close contact services should follow to protect staff and customers. Only services that do not involve work in the highest risk zone – directly in front of the face – should be made available to clients. Where 2 metre social distancing cannot be maintained, the person providing the service should wear further protection in addition to any that they may usually wear. This should include a clear visor that covers the face. Other measures include: using screens or barriers to separate clients; appointment only booking systems; keeping activity time down to a minimum; sufficient spacing between customers, and more.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-07-14T00:00:00Z,273,Matt Hancock makes a statement on COVID-19 – face coverings to be mandatory in shops and supermarkets from 24 July,"Government has decided that face coverings should be mandatory in shops and supermarkets from 24 July. Under the new rules, people who do not wear a face covering will face a fine of up to £100. Children under 11 and those with certain disabilities will be exempt. When any individual without an exemption refuses to wear a face covering, a shop can refuse them entry and can call the police. The police have the formal enforcement powers and can issue a fine.",Gov.uk,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-07-17T00:00:00Z,274,"Government publishes 'The next chapter in our plan to rebuild: The UK Government’s COVID-19 recovery strategy' - testing capacity to increase to half a million a day, changes to advice for employers about working from home","Plan published on same day as speech from the Prime Minister. Plan says government is preparing for different scenarios, but in all cases hope to 'see a return towards normality in spring 2021'. Government plan to continue to build the NHS Test and Trace service, and to increase antigen testing capacity to half a million tests a day by end of October. Government will also increase local health protection teams. The government is auditing critical winter stockpiles of equipment and PPE to ensure there is adequate stock. Plan outlines steps to ease restrictions from 1 August, provided prevalence remains low. The government will: give employers more discretion on whether to open workplaces; reopen most remaining leisure settings; enable the restart of indoor performances to a live audience; allow all close contact services to resume; pilot the return of spectators to live sport events, with plans for a full, socially-distanced return of audiences in stadia and conferences from 1 October; and enable wedding receptions for no more than 30 people. In September, schools, nurseries and colleges will open for all children and young people on a full-time basis. 'If prevalence falls very significantly', government will review outstanding measures and 'allow a more significant return to normality'. This would start with removing the need to distance people. Ambition is that this may be possible by November at the earliest (contingent on a number of factors).",Gov.uk guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-07-17T00:00:00Z,275,"National Framework published for local authorities and local decison-makers setting how to prevent, contain and manage COVID-19 local outbreaks","Framework sets out how national and local partners, such as the NHS Test and Trace, the Joint Biosecurity Centre (JBC), local authorities, and Public Health England (PHE), will work with the public to prevent, contain and manage local COVID-19 outbreaks. Also outlines new regulations from 18 July that give local and national government additional powers to stop local transmission of the virus. Ministers are accountable nationally for setting this framework and Directors of Public Health are accountable for controlling local outbreaks. The guidance sets out six key principles for the effective implementation of an ‘integrated national and local system’: (1) primary responsibility is to make the public safe; (2) build on public health expertise and use a systems approach; (3) be open with data and insight; (4) build consensus between decision-makers; (5) follow well-established emergency management principles; and (6) consider equality, economic, social and health-related impacts of decisions.

Local outbreak plans are centred on 7 themes: healthcare and education settings; high-risk workplaces, communities and locations; local testing; contact tracing in complex settings; data integration; vulnerable people and diverse communities; and local boards and communications.

Where possible, actions to address local outbreaks will be undertaken in partnership with local communities. Local authorities will have the powers to close individual premises, public outdoor places and prevent specific events from the 18th July. Ministers have similar powers to take action against specific premises, places and events, as well as a power to ask local authorities to consider whether any actions have been unnecessary and should be revoked. To address more serious and wider-spread cases, ministers can use their existing powers (under the Public Health (Control of Disease) Act 1984) to implement more substantial restrictions. 

The framework sets out the local governance arrangements for COVID-19 outbreak plans. A table in the framework summarises the key roles for managing outbreaks within an individual setting, within a local authority area, and for those which cross regional boundaries. Local authorities deemed as areas for ‘enhanced support will be provided with increased national support, capacity and oversight, including additional resources deployed to augment the local teams’.",Gov.uk_guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-07-17T00:00:00Z,276,Guidance published for local authorities on the new Health Protection Regulations that come into force on 18 July 2020,"Provides guidance to local authorities on what the new regulations allow them to do and how they should exercise those powers. The powers may be exercised by upper tier local authorities in England. Regulations include powers for local authorities to: (1) restrict access to, or close, individual premises; (2) prohibit certain events (or types of event) from taking place; and (3) restrict access to, or close, public outdoor places (or types of outdoor public places). To make a direction under these regulations a local authority must gather evidence that meets the following 3 conditions: it must be in response to a serious and imminent threat to public health; it must be necessary to prevent, protect against, control or respond to the incidence or spread of COVID-19; and it must be a proportionate means of achieving that purpose to prevent. Local authorities should consult the police prior to issuing a direction if it 'prohibits, requires or restricts access to a premise, event or public outdoor place that is situated against a Local Resilience Forum boundary’. The Secretary of State can direct a local authority to issue or revoke a direction. Any direction issued by a local authority must be reviewed every seven days.",Gov.uk_guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Legal change,NA,Wider policies
2020-07-17T00:00:00Z,277,Pilots announced for the return of audiences to indoor performance venues from 1 August and the return of spectators to elite sports events from 1 October,"Audiences, subject to social distancing measures, will be able to return to indoor theatres, music and performance venues from 1 August. The Department for Digital, Culture, Media and Sport is working with the sector on pilots of performances with socially distanced audiences that will inform final guidance for venues in the run up to August 1. Audiences, performers and venues will be expected to maintain social distancing at all times. A small number of sporting events will be used to pilot the safe return of spectators through late July and early August – with a view to reopen competition venues for sports fans, with social distancing measures in place, from October 2020.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Non-health and social care settings,Pilots to return spectators to elite sports events,Wider policies
2020-07-18T00:00:00Z,278,Lockdown restrictions lifted in some areas of Leicestershire,"All additional lockdown restrictions will end in areas outside of Leicester City and the Borough of Oadby and Wigston on 18 July following a review by public health experts. The additional restrictions will continue in the protected area of Leicester city and the Borough of Oadby and Wigston where prevalence of the virus is higher. However, some restrictions will be lifted from 24 July. Shielding advice remains in place for the entire area of Leicester, including where restrictions have been eased.
Non-essential shops, schools, and childcare settings can open in Leicester area from 18 July apart from in the protected area of Leicester City and the Borough of Oadby and Wigston, where they can reopen on the 24 July. Bars, restaurants, and hairdressers, can open in Leicester area from 18 July apart from in the protected area of Leicester City and the Borough of Oadby and Wigston, where a review of these restrictions will take place by 1 August.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-07-20T00:00:00Z,279,Guidance for working in care homes and domiciliary care is updated to include recommendation for the use of face masks and coverings in social care settings,"Face masks are now recommended for all staff in any situation when in a care home, including when 2 metres or more away from residents. This is because 'evidence has shown that those infected with COVID-19 can have very mild or no symptoms and might pass on the virus to others without being aware of it.'",Gov.uk guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Infection prevention and control,Domiciliary care guidance,Wider policies
2020-07-23T00:00:00Z,280,"New regulations laid by government: members of the public will need to wear face coverings in shops, supermarkets, shopping centres and enclosed transport hubs from 24 July","New regulations require members of the public to wear face coverings in additional public spaces from 24 July 2020. This includes shops, supermarkets, shopping centres, transport hubs, banks, building societies and post offices. It will be compulsory to wear a face covering when buying food and drink to take away from cafes and shops. The face covering must cover the nose and mouth. The responsibility for wearing a face covering sits with individuals. Anyone who doesn’t abide by the regulations – and is not exempt under one of the categories set out in the regulations – could face a fine by the police of up to £100. Businesses are encouraged to take reasonable steps to encourage customers to follow the law. Updated guidance on face coverings is published the same day.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Legal change,NA,Wider policies
2020-07-24T00:00:00Z,281,Face coverings become mandatory in shops and supermarkets (with exemptions),"Exemptions include: anyone under the age of 11; anyone not able to wear a face covering because of a physical or mental illness or impairment, or disability; if wearing a face covering will cause an individual severe distress; if someone travels with or provides assistance to someone who relies on lip reading to communicate. People are not required to prove they are exempt and it is for individuals to choose how they want to communicate this to others.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-07-24T00:00:00Z,282,Guidance for businesses on reporting outbreaks of COVID-19 is published,--,Gov.uk guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Infection prevention and control,Reporting an outbreak resource site,Wider policies
2020-07-25T00:00:00Z,283,"Indoor gyms, pools and leisure centres allowed to reopen to the public","Indoor gyms, swimming pools and sports facilities are allowed to reopen. Guidance published by the Department for Digital, Culture, Media and Sport includes advice for providers of pool, gym and leisure facilities on cleaning, social distancing, and protection for staff to help venues get back up and running safely. Venues must ensure they can enable customers, staff and volunteers to maintain social distancing before, during and after participation. Other measures include: limiting the number of people using the facility at any one time; reducing class sizes; ensuring appropriate number of people are in a swimming pool at any one time; spacing out equipment; adequate ventilation; enhance cleaning; queue management and one-way systems; encourage customers to shower and change at home where possible; and floor markings on studio floors to help people stay distanced.",Gov.uk_press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-07-30T00:00:00Z,284,Self-isolation period is extended to 10 days for those with symptoms or a positive test result,"The self-isolation period is extended to 10 days for those in the community who have COVID-19 symptoms or a positive test result. Evidence (although limited) suggests that people with COVID-19 who are mildly ill and recovering have a ‘low but real possibility of infectiousness between 7 and 9 days after illness onset’. The Department for Health and Social Care have decided that alongside the relaxation of other measures, it is now the ‘correct balance of risk’ to extend self-isolation from 7 to 10 days. This will provide additional protection to others, particularly those who have been shielding.",Gov.uk news story,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-07-30T00:00:00Z,285,Government confirms that health and care workers returning to England from high-risk countries will be required to self-isolate for 14 days,"Government announces that from 31 July registered health and care professionals travelling back to England from high-risk countries are required to self-isolate for 14 days. At the beginning of June an exemption was originally put in place that meant health and care professionals did not have to self-isolate when travelling back to England from overseas. The government announcement states that the removal of this exemption ‘further protects the NHS and social care system from the spread of coronavirus from overseas’. However, in line with general public, health and care professionals returning from a country which has a travel corridor to the UK will not be required to self-isolate on return.",Gov.uk press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-07-30T00:00:00Z,286,Government publishes NHS Test and Trace business plan and launches new campaign to encourage people to get a test,"Key points: the business plan sets out the following ambitions: increase awareness of NHS Test and Trace from 60% to over 80% by October, supported by a new marketing campaign; double daily COVID-19 testing capacity to 500,000 by end of October; test 150,000 asymptomatic at-risk people per day by September; increase testing sites to over 500 by October; further improve testing turnaround times; reduce the average time from a person ordering a test to advising their contacts to self-isolate if positive; introduce a Test and Trace app; have 100,000 people participating in COVID-19 immunity research studies by September; drive ‘world-leading’ research into antibodies and immunity; and support local councils to improve their local outbreak control plans. The business plan also says that the Test and Trace system seeks to increase the number of contacts successfully identified and reached, as well as provide greater support to people who need to self-isolate. Refers to how the Test and Trace system will help manage and reduce the risk of local outbreaks, such as establishing an ‘effective and resilient integrated operating model to identify and respond to outbreaks, supported by the new CONTAIN framework’. NHS Test and Trace will continue to develop their insight and analytics function, in collaboration with the Joint Biosecurity Centre. NHS Test and Trace will extend and enhance their approach to contact tracing to enable them to identify potential infection clusters. 10 ‘operational change priorities’ are identified to help deliver the business plan.",Gov.uk business plan,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,"Testing, surveillance and contact tracing",Go.uk press release on new campaign,Wider policies
2020-07-31T00:00:00Z,287,Prime Minister statement on COVID-19 – establishments due to reopen on 1 August will now remain closed until 15 August at the earliest,"Prime Minister describes the Health Secretary announcement the night before about new restrictions on household contact in the North West (Greater Manchester, parts of East Lancashire and West Yorkshire), and says this ‘sort of intervention works’. Says the numbers are 'creeping up' so government's assessment is 'that we should now squeeze that brake pedal in order to keep the virus under control.' Establishments due to reopen on 1 August will now remain closed until 15 August at the earliest. This includes casinos, bowling alleys and skating rinks. Indoor performances, pilots of larger sport crowds, and wedding receptions of up to 30 people will not be permitted to go ahead. Changes to the guidance around shielding and 'to give employers more discretion over how employees can work safely' from tomorrow will go ahead. The police and local authorities will be ensuring that the rules in place are ‘properly enforced’. The requirement to wear a face covering is extended to other indoor settings, such as museums, galleries, cinemas and places of worship, enforceable from 8 August. Rules on social contact nationally remain unchanged ‘at this stage’.",Gov.uk speech,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Non-health and social care settings,Gov.uk guidance on 31 July announcement,Wider policies
2020-08-01T00:00:00Z,288,Guidance on going to work changes to give employers 'discretion'  about how staff can work safely,"As outlined in the Prime Ministers speech on the 31 July, the establishments due to reopen on 1 August will now remain closed until 15 August at the earliest. This includes casinos, bowling alleys and skating rinks. Indoor performances, pilots of larger crowds at sporting events, and wedding receptions of up to 30 people will no longer be permitted to go ahead from 1 August. However, changes around shielding guidance and changes in guidance around returning to the workplace go ahead. This means that instead of government telling people to work from home, employers have 'more discretion' to make decisions about how their staff can work safely.",NA,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-08-01T00:00:00Z,289,Shielding guidance for clinically extremely vulnerable paused across England,"Guidance for the clinically extremely vulnerable is that shielding has been paused. This means those who were previously shielding: do not need to follow previous shielding advice; can go to work as long as the workplace is COVID-19-secure, but should carry on working from home wherever possible; can go outside but should still try to keep overall social interactions low; can visit businesses with social distancing; should continue with handwashing advice and maintain thorough cleaning of frequently touched areas; will no longer receive free food parcels, medicine deliveries and basic care from the National Shielding Service; are no longer eligible for Statutory Sick Pay on the basis of being advised to shield by the government. Clinically extremely vulnerable children should attend education settings in line with the guidance. NHS Digital will maintan the shielded patient list. NHS Volunteer Responders will offer support until at least December 2020. All other members of households of those who are identified as clinically extremely vulnerable will be eligible for free flu vaccinations (most people who are clinically extremely vulnerable will already be eligible for a free flu vaccination).",Gov.uk_guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Shielding measures,Press release,Wider policies
2020-08-03T00:00:00Z,290,Government announces roll out of two rapid tests for COVID-19,"The Department of Health and Social Care announces that two new tests, able to detect the COVID-19 virus (and other winter viruses) in 90 minutes, will be made available to NHS hospitals, care homes and labs across the UK. This will increase testing capacity ahead of winter. The government says the tests will enable ‘clinicians and NHS Test and Trace to quickly advise on the best course of action to stop the spread of the virus’. The tests do not require trained health professionals to administer then, which will allow them to be rolled out across non-clinical settings.",Gov.uk press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-08-08T00:00:00Z,291,Requirement to wear a face mask extended to more indoor settings,"The requirement to wear a face covering in England and Scotland is extended to more indoor settings, such as museums, aquariums, galleries, cinemas, funeral homes and places of worship. Enforceable in law from 8 August.",Gov.uk speech,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Infection prevention and control,BBC news,Wider policies
2020-08-10T00:00:00Z,292,Government announces that NHS Test and Trace will provide local authorities with a dedicated team of contact tracers for local areas,"NHS Test and Trace and Public Health England will extend its partnership with local authorities 'to reach more people testing positive and their contacts' to stop the spread of COVID-19. Local areas will have ‘dedicated ring-fenced teams’ of contact tracers from the national NHS Test and Trace service. They will work on specific areas alongside local public health officials to provide a ‘more tailored service’. When the national team cannot make contact with someone within a set period of time, local public health officials can use data provided by NHS Test and Trace to follow up. The model, which integrates local knowledge with additional resources and data from the national service, has already been used in some local areas (Blackburn with Darwen, Luton and Leicester) and is now being offered to all upper tier local authorities. Builds on the recently published Contain Framework, which set out how national and local partners will work together to prevent, contain and manage outbreaks.",Gov.uk press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-08-11T00:00:00Z,293,New guidance published for supported living settings,"Department of Health and Social Care and Public Health England publish new guidance for managers, care and support workers and other staff in supported living settings to 'update and build on previous advice for these settings withdrawn on 13 May 2020'. The guidance sets out measures to maintain service delivery and manage outbreaks, and advice on visitors and testing, and signposts providers to existing guidance on areas including risk assessments, supporting staff, infection prevention control and PPE. It states that ‘given the different types of supported living and the associated care, support and help for people living there, this guidance cannot be specific to individual locations’ so local managers should use it to inform the development of their own ‘specific ways of working’.
The guidance states that to maintain service delivery, supported living providers should: ensure that lists of people in supported living are up to date; develop business continuity plans to help them manage emergency situations; update risk management plans for people who may find changes in routine challenging; work with local authorities to facilitate mutual aid, care and support plans; identify people who use direct payments or fund their own support; avoid sharing staff between settings; identify people who are clinically extremely vulnerable; and maintain oversight for people who are self-isolating. 
To reduce the risk of COVID-19 spreading across supported living facilities, measures should be followed, including social distancing, hygiene principles, self-isolation, use of PPE and cleaning. Staff should consider how the person they are supporting is most likely to understand the information and use the appropriate communication techniques. As lockdown measures continue to ease, providers should refer to guidance on ‘staying alert and social distancing’, which describes current options for meeting family members, friends and support bubbles. If there is any local tightening of lockdown measures, supported living settings in these locations are required to follow local guidelines. If a supported living worker has COVID-19 symptoms, they should refer to the guidance for ‘working safely during coronavirus’. If a worker comes into close contact with someone confirmed or suspected of having COVID-19 while not wearing PPE, they should inform their line manager and refer to the guidance for the ‘management of exposed healthcare workers’. If a person in supported living develops a COVID-19 infection, plans should be developed to ensure that person is supported to have their health checked in case further interventions are needed. The Health Protection Teams at Public Health England have an essential role in responding any COVID-19 outbreaks in supported living settings. Any people living in supported living or staff can access a COVID-19 test. Any individual being discharged from hospital into a supported living setting should be supported as if they were ‘possibly COVID-19 positive’. 
",Gov.uk_guidance,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-08-13T00:00:00Z,294,New Test and Trace app begins trial phase,"New Test and Trace app begins the initial trial phase. The app aims to minimise the spread of COVID-19 alongside national and local contact tracing. It will ‘help people to understand if they are at risk of infection so they can take action to protect themselves and their communities’. The new app includes: alerts based on postcode, a QR check-in at venues, a symptom checker and test booking. The app will log the time and distance a user has spent near anyone, so it can alert them if any person they were near later tests positive for COVID-19. The app uses 'the latest in security technology' to protect user privacy, ‘so it tracks the virus, not people’. Residents from the Isle of Wight, Newham and NHS Volunteer Responders across England will take part in the trial.",Gov.uk press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,"Testing, surveillance and contact tracing",Gov.uk guidance on privacy notice,Wider policies
2020-08-13T00:00:00Z,295,"Government announces stronger enforcement measures as easements resume, with a number of culture, sport, leisure and business establishments permitted to reopen from 15 August","The government announces a series of ‘tough’ new enforcement measures targeting the most ‘serious’ breaches of social distancing measures. Fines for people who repeatedly fail to wear face coverings where mandated will double to a maximum of £3,200. On the spot fines will be introduced for people hosting or facilitating illegal gatherings of more than 30 people. The Prime Minister says ‘most people in this country are following the rules and doing their bit to control the virus, but we must remain focused and we cannot be complacent. That is why we are strengthening the enforcement powers available to use against those who repeatedly flout the rules’.
Comes alongside announcement that the plan set out in the ‘roadmap to recovery’ which was paused for two weeks will resume from 15 August in England (except in areas where local restrictions are in place). This includes reopning bowling alleys, skating rinks, casinos, indoor play and soft play centres. Beauty salons, tattoo studios, spas and barbers across England will be able to offer all close contact services and treatment. Wedding receptions in the form of a sit-down meal in a COVID-secure location for up to 30 guests will be allowed to resume. Indoor theatres, music and performance venues will able to reopen with socially distanced audiences. Sports and business events pilots will resume, with a view to reopening competition venues for sports fans, with social distancing, from 1 October. Nightclubs, dance halls, and discotheques, sexual entertainment venues and hostess bars, remain closed. The government also announce that all staff offering close contact services should now wear a face mask in addition to a clear visor that covers the face.
",Gov.uk press release,NA,NA,NA,NA,NA,NA,NA,Measures to limit spread,Social distancing measures,NA,Wider policies
